종목명,우대법령,조문내역,활용내용,해당1,해당2,해당3,해당4,해당5,해당6,해당7,해당8,우선순위1,우선순위2,우선순위3,우선순위4,우대분류,중처법대상
금속재료기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
금속재료기술사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
금속재료산업기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
금속재료시험기능사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
금속재창호기능사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
금속제련기술사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
금형기능사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
금형기능장,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
금형기술사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
기계가공기능장,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
